06.04.2021 11:05:19 Application started. Press Ctrl+C to shut down. 
06.04.2021 11:05:19 Hosting environment: Development 
06.04.2021 11:05:19 Content root path: C:\Users\Anuitex\Source\Repos\BookStore\Store.PresentationLayer 
06.04.2021 11:05:19 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/Home/MainPage 
06.04.2021 11:05:29 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:05:30 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:05:35 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/updateuseradmin 
06.04.2021 11:05:52 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/updateuseradmin 
06.04.2021 11:06:13 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:06:13 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:06:17 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/updateuseradmin 
06.04.2021 11:06:18 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/updateuseradmin 
06.04.2021 11:06:24 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/updateuseradmin 
06.04.2021 11:06:24 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/updateuseradmin 
06.04.2021 11:07:14 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:07:14 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:07:31 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:07:32 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:07:38 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:07:38 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:07:39 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:08:56 Application started. Press Ctrl+C to shut down. 
06.04.2021 11:08:56 Hosting environment: Development 
06.04.2021 11:08:56 Content root path: C:\Users\Anuitex\Source\Repos\BookStore\Store.PresentationLayer 
06.04.2021 11:08:56 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/Home/MainPage 
06.04.2021 11:09:28 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:09:29 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:10:09 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:10:09 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:10:26 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:10:26 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:16:12 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:16:12 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getusers 
06.04.2021 11:16:15 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:16:16 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:16:44 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:16:44 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:16:44 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:16:44 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:16:48 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:16:48 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:18:09 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:18:09 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:18:11 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:18:11 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:18:11 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:18:11 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
